,device,topic_level1,topic_level2,topic_level3,action,related topic (noun),title,question,answer,type,comment,
68,no_device,"['service', 'software', 'hardware']","['phone', 'calls', 'message', 'internet&network', 'camera']","['text', 'data', 'phone', 'call']","block call, block text",,"Block texts, voice calls and data from your phone","Block texts, voice calls and data from your phone","You can control text messaging, voice calls and data access for individual phones on your account. These changes will take effect within 15 minutes.
To block or unblock text messages, calls or data you must have a valid My Sprint account and be set up with an account owner profile. If you are not an account owner and do not have permission to change settings on your account, you will see a message showing your current settings.
Important: If 911 is called from your Sprint phone, ALL inbound calls will automatically be allowed for 24 hours following placement of the 911 call so public safety can attempt to call back, if the call is disconnected. Call blocking will automatically be reinstated after (but cannot be reinstated during) the 24 hour period. You will not be notified of the suspension or reinstatement.
NOTICE: Where available, text-to-911 cannot be blocked.
To manage your account control settings on your phone:
Visit m.sprint.com from your phone Click Manage your Sprint account tab. Click Sign in to manage your account . Sign in with your username and password and click Sign in . Scroll down and click Phones on account . Click Limits and Permissions next to the device you wish to view usage for. Select the control setting for texts, voice and data. To block or allow all settings with one click, click block all or allow all . Click Save to proceed to the next screen. Click Save again to continue. Allow 15 minutes for your changes to take effect.",general,,
221,no_device,"['hardware', 'software']","['sound', 'default_apps']","['rington', 'music']",,"sprint music plus, ringtone",Learn more about Sprint Music Plus,What are ringtones?,"Ringtones are downloaded to your phone. With ringtones, you can ""set"" a tone (song, sound effect, etc.) that you will hear when someone calls you instead of the default ringer on your phone. Ringtones never expire on the device which they are purchased. Ringtones are not transferrable to a new phone.
",general,,
925,no_device,"['software', 'hardware']","['internet&network', 'activate ']","['roaming', 'card', 'data']",report incidents,data roaming,Learn more about data roaming,How can I report roaming incidents that ask for a credit card ?,"Sprint has roaming agreements, which cover virtually every area of the United States and Puerto Rico. Sprint customers should not be prompted for a credit card while roaming. However, if you are prompted for a credit card while roaming, please report the incident to us by dialing 888-211-4727. Note: When you are roaming, you will not be able to contact us by dialing *2 Talk .

Entrate sobre los datos de roaming
El servicio de roaming se ofrece para que puedas tener acceso a redes de datos cuando ests temporalmente fuera de la red de Sprint. Ten en cuenta que no es la intencin de Sprint que el roaming sea la fuente primaria de tu cobertura.
Los equipos incluyen un indicador visual del estado de roaming que te permite saber cundo lo ests usando. Para ms detalles, consulta las instrucciones de uso del equipo o la gua del usuario, disponible cuando seleccionas tu dispositivo en sprint.com/support.
Hay lmites para la cantidad de datos que puedes usar mientras usas roaming, dependiendo de la asignacin de tu plan. El uso de datos se calcula de acuerdo al tamao del archivo enviado o recibido. Usa nuestra calculadora de datos para calcular el uso de datos. El uso de la red de Sprint y las redes de cobertura extendida se tiene en cuenta en tu asignacin del plan, el uso de roaming se determina al acceder a las redes de roaming. No todos los servicios estn disponibles en todas las reas, por eso es importante que conozcas la cobertura y el servicio disponibles. Puedes ver la red de Sprint, la cobertura extendida y la cobertura de roaming fuera de la red en sprint.com/coverage
Sprint incluye los trminos y condiciones en nuestra Gua de Planes de Servicio que es un folleto integral disponible en todas las tiendas de Sprint. Ten en cuenta que hay trminos y condiciones especficos para el uso de datos y roaming. Sprint se reserva el derecho de limitar las velocidades de rendimiento o la cantidad de datos transferidos y de rechazar, cancelar, modificar, desconectar o suspender el servicio si el uso excede ciertos lmites de cantidad de datos cada mes mientras se usa roaming fuera de la red. Para obtener datos especficos sobre roaming, puedes visitar sprint.com/termsandconditions
Cuando uses roaming en tu equipo mvil, podemos notificarte con cierta frecuencia. Le enviaremos notificaciones al titular de la cuenta a travs de la preferencia de notificacin seleccionada, ya sea por email o mensaje de texto. Luego de que se exceden los lmites, Sprint puede suspender tu acceso al roaming de datos hasta el prximo ciclo de facturacin. La suspensin del roaming de datos solo limita al acceso de datos durante el roaming, no afecta el roaming de voz o mensajes de texto, y todos los servicios seguirn disponibles dentro de la red de Sprint. Para ms informacin sobre las notificaciones y controles de uso de roaming de datos en banda ancha mvil, haz clic en nacional o internacional
Ocasionalmente, contactamos a los usuarios que podran usar roaming con frecuencia o usar una gran cantidad de datos para informarles qu es el roaming, cmo reconocer cuando se usa y ayudarlos a comprender los trminos y condiciones de Sprint sobre el roaming.
Si tienes ms preguntas o necesitas ayuda, solo contctanos",general,,
1608,no_device,"['service', 'software']","['plan', 'internet&network']",['roaming'],,"sprint global roaming, international plan",FAQs about Sprint Global Roaming,Is Sprint Global Roaming combinable with other international plans?,"Sprint Global Roaming is not eligible with other international roaming plans. If there are no other international roaming plans on your account, then Sprint Global Roaming is enabled for your use with capable smartphones.",general,,
1999,no_device,['service'],"['plan', 'eligible']",[],,"sprint discount program, 50% off competitor plan",FAQ related to the Sprint Discount Program,Are the 50% off Competitor Plans eligiblefor company/university/organization discounts through Sprint?,"You may enroll in the Sprint Discount Program while on the 50% off Competitor Plans; however, these plans are not eligible for the Sprint Discount Program discounts.",general,,
264,no_device,['service'],['eligible'],[],,monthly installments,FAQs about monthly installments,Who is eligible for monthly installments?,"New Consumer, individual liable and select small Corporate liable customers. Existing customers can visit sprint.com/upgrade to see details.",general,,
975,samsung_galaxi_s7,['software'],"['setting', 'internet&network']","['roaming', 'setting']",change roaming guard setting,romaing guard setting,Change the roaming guard settings - Samsung Galaxy S7 Special Edition,Change the roaming guard settings - Samsung Galaxy S7 Special Edition,"Roaming guard notifies you when you are using voice, data, or messaging services while roaming domestically and/or internationally.

	From the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Mobile networks.

	Tap Data roaming.

	Tap Roaming guard.

	Tap the switches to enable or disable the roaming guard options.

	The roaming guard settings are now changed.

	You can manage your data usage by restricting background data unless connected to a Wi-Fi network.

	To restrict background data, from the roaming guard settings, tap the Back key three times to return to the main Settings screen.

	Tap Data usage.

	Tap MORE.

	Tap Restrict background data.

	Tap OK to confirm.

	Background data is now restricted.",device,,
465,appl_iphon_4_8gb,"['device', 'hardware']",['activate '],[],activate device,,Activate your device - Apple iPhone 4,Activate your device - Apple iPhone 4,"To turn the phone on, press and hold the Power key.

	Slide the screen to the right to begin set up.

	Tap the preferred language.

	Tap the preferred country or region.

	Tap the preferred Wi-Fi network.

	Note:If there are no Wi-Fi networks available, tapConnect to iTunes.

	If prompted, enter the selected Wi-Fi network's password, then tapJoin.

	Tap the preferredLocation Servicesoption.

	TapSet Up as New iPhone.

	Note:TapRestore from iCloud BackuporRestore from iTunes Backupif restoring a previous iPhone's settings.

	Tap Sign In with your Apple ID.

	Note: If you do not have an Apple ID, tap Create a Free Apple ID and follow the prompts, or visit http://appleid.apple.com.

	Enter the email address and password that is associated with your Apple ID, then tapNext.

	Read the Terms and Conditions and tap Agree.

	TapAgree.

	Tap the preferrediCloudoption.

	If prompted, tap the preferredFind My iPhoneoption.

	Tap to enable or disable theiMessage and FaceTimeoptions, and then tapNext.

	Tap the preferredDiagnosticsoption.

	TapGet Started.

	The iPhone is now ready for use",device,,
124,no_device,['software'],"['setting', 'email', 'message', 'calls']","['setting', 'voicemail']",receive message,"Sprint voicemail, voicemail",FAQs about Sprint voicemail,Can I receive a message before my voicemail box is set up?,"Callers can leave messages prior to a mailbox being set up. You can listen to the messages as soon as your voicemail box is set up.
",general,precondition: before my voicemail is set up,
565,no_device,['software'],['internet&network'],"['roaming', 'data']",find information,data roaming,Learn more about data roaming,Where can I find more information?,"Sprint provides terms and conditions in our Service Plans Guide which is a comprehensive brochure available in all Sprint Stores. Please note that there are specific terms and conditions for roaming and data use. Sprint reserves the right to limit throughput speeds or amount of data transferred and to deny, terminate, modify, disconnect or suspend service if usage exceeds certain data amount limits each month while off-network roaming. For specific details regarding roaming, you can visit sprint.com/termsandconditions .
",general,,
